Package                   Version
------------------------- -----------
aiohappyeyeballs          2.6.2
aiohttp                   3.14.1
aiosignal                 1.4.0
annotated-doc             0.0.4
annotated-types           0.7.0
anthropic                 0.112.0
anyio                     4.14.1
APScheduler               3.11.2
attrs                     26.1.0
bidict                    0.23.1
blinker                   1.9.0
boto3                     1.43.36
botocore                  1.43.36
brotli                    1.2.0
certifi                   2026.6.17
cffi                      2.0.0
chardet                   5.2.0
charset-normalizer        3.4.7
click                     8.4.2
croniter                  6.2.2
cryptography              49.0.0
cssselect                 1.4.0
ddgs                      9.14.4
dingtalk-stream           0.24.3
distro                    1.9.0
docstring_parser          0.18.0
dulwich                   0.25.2
et_xmlfile                2.0.0
fake-useragent            2.2.0
filelock                  3.29.4
Flask                     3.1.3
frozenlist                1.8.0
groq                      1.5.0
h11                       0.16.0
h2                        4.3.0
hpack                     4.2.0
httpcore                  1.0.9
httpx                     0.28.1
httpx-sse                 0.4.3
hyperframe                6.1.0
idna                      3.18
itsdangerous              2.2.0
Jinja2                    3.1.6
jiter                     0.15.0
jmespath                  1.1.0
json_repair               0.61.0
jsonschema                4.26.0
jsonschema-specifications 2025.9.1
lark-oapi                 1.5.5
loguru                    0.7.3
lxml                      6.1.1
lxml_html_clean           0.4.5
markdown-it-py            4.2.0
MarkupSafe                3.0.3
mcp                       1.28.0
mdurl                     0.1.2
msgpack                   1.2.1
multidict                 6.7.1
nanobot-ai                0.2.2
oauth-cli-kit             0.1.3
openai                    2.44.0
openpyxl                  3.1.5
pillow                    12.2.0
platformdirs              4.10.0
primp                     1.3.1
prompt_toolkit            3.0.52
propcache                 0.5.2
pycparser                 3.0
pycryptodome              3.23.0
pydantic                  2.13.4
pydantic_core             2.46.4
pydantic-settings         2.14.2
Pygments                  2.20.0
PyJWT                     2.13.0
pypdf                     5.9.0
python-dateutil           2.9.0.post0
python-docx               1.2.0
python-dotenv             1.2.2
python-engineio           4.13.3
python-multipart          0.0.32
python-pptx               1.0.2
python-socketio           5.16.3
python-socks              2.8.2
python-telegram-bot       22.8
pytz                      2026.2
PyYAML                    6.0.3
qq-botpy                  1.2.1
questionary               2.1.1
readability-lxml          0.8.4.1
referencing               0.37.0
regex                     2026.5.9
requests                  2.34.2
requests-toolbelt         1.0.0
rich                      14.3.4
rpds-py                   2026.5.1
s3transfer                0.19.0
shellingham               1.5.4
simple-websocket          1.1.0
six                       1.17.0
slack_sdk                 3.42.0
slackify_markdown         0.2.4
sniffio                   1.3.1
socksio                   1.0.0
sse-starlette             3.4.5
starlette                 1.3.1
tiktoken                  0.13.0
tornado                   6.5.7
tqdm                      4.68.3
typer                     0.26.7
typing_extensions         4.15.0
typing-inspection         0.4.2
tzlocal                   5.4.3
urllib3                   2.7.0
uvicorn                   0.49.0
wcwidth                   0.8.1
websocket-client          1.9.0
websockets                16.0
Werkzeug                  3.1.8
wonderwords               3.0.1
wsproto                   1.3.2
xlsxwriter                3.2.9
yarl                      1.24.2
